URN,Name,UUID,Geometry
"urn:uuid:8903b0ca-92a7-4628-9507-134fb80c78de","TWKHH - 19","8903b0ca-92a7-4628-9507-134fb80c78de","Polygon(List(List((120.282072022859,22.6033637069656), (120.282281818056,22.6034587137238), (120.282767853517,22.6025334477255), (120.282558059722,22.6024384409564), (120.282072022859,22.6033637069656))))"
"urn:uuid:c7bca60f-dadc-43b6-b3b3-78ceb9e29549","TWKHH - 20","c7bca60f-dadc-43b6-b3b3-78ceb9e29549","Polygon(List(List((120.28952394108,22.5917066739533), (120.289760466037,22.5918493032797), (120.29128057481,22.5896757251982), (120.291044053565,22.5895330958332), (120.28952394108,22.5917066739533))))"
"urn:uuid:d66c23a2-2557-4e49-ba7d-d1b26752f081","TWKHH - 21","d66c23a2-2557-4e49-ba7d-d1b26752f081","Polygon(List(List((120.300017865403,22.5836238573022), (120.300201925587,22.583608903503), (120.300107001586,22.5826013579225), (120.299922942741,22.5826163117236), (120.300017865403,22.5836238573022))))"
"urn:uuid:455144e7-57eb-47a4-b1e4-3348f9eff073","TWKHH - 22","455144e7-57eb-47a4-b1e4-3348f9eff073","Polygon(List(List((120.290425714445,22.6076547766048), (120.290562150644,22.6079145001447), (120.292327974175,22.6071148531266), (120.292191538764,22.6068551295608), (120.290425714445,22.6076547766048))))"
"urn:uuid:c9f13a9e-afe7-4742-b15e-2161be5c8845","TWKHH - 23","c9f13a9e-afe7-4742-b15e-2161be5c8845","Polygon(List(List((120.283453893222,22.6134868311022), (120.283577533749,22.6137121199632), (120.284565496553,22.6132447572552), (120.284441856444,22.6130194683811), (120.283453893222,22.6134868311022))))"
"urn:uuid:cff3ec6b-caf2-4e03-94a6-de40cacfa5aa","TWKHH - 24","cff3ec6b-caf2-4e03-94a6-de40cacfa5aa","Polygon(List(List((120.322347836237,22.55724052302), (120.322096973882,22.5575282564305), (120.323849940819,22.5588466991736), (120.324100805559,22.5585589658103), (120.322347836237,22.55724052302))))"
"urn:uuid:90bf8edd-d096-4194-88a6-5f7354f70b03","TWKHH - 25","90bf8edd-d096-4194-88a6-5f7354f70b03","Polygon(List(List((120.296528349169,22.5856080017276), (120.296776804272,22.5857453168982), (120.297839702839,22.5840867861873), (120.297591257458,22.5839494919606), (120.296528349169,22.5856080017276))))"
"urn:uuid:53c16d85-4b77-4807-9b18-49727e505328","TWKHH - 26","53c16d85-4b77-4807-9b18-49727e505328","Polygon(List(List((120.318220520024,22.5553412824678), (120.317828353023,22.5550564362863), (120.314873064688,22.5585659285344), (120.315265244709,22.5588508635259), (120.318220520024,22.5553412824678))))"
"urn:uuid:99413978-78c5-4785-bc4a-8e5431fc50c0","TWKHH - 27","99413978-78c5-4785-bc4a-8e5431fc50c0","Polygon(List(List((120.309160475105,22.571821066791), (120.308838660234,22.5715875627722), (120.307174417365,22.5735658030632), (120.307496236829,22.5737993070244), (120.309160475105,22.571821066791))))"
"urn:uuid:e9fd11de-7988-4713-a065-46929e0afa60","TWKHH - 28","e9fd11de-7988-4713-a065-46929e0afa60","Polygon(List(List((120.303066806457,22.5784978352597), (120.303304348295,22.5786701832882), (120.304423853313,22.5773394923471), (120.304186313756,22.5771671442901), (120.303066806457,22.5784978352597))))"
"urn:uuid:faded606-d994-4858-a142-a50c89d88aca","TWKHH - 29","faded606-d994-4858-a142-a50c89d88aca","Polygon(List(List((120.285066396846,22.5966233646762), (120.285134883044,22.5965037655694), (120.284585319952,22.5962324404184), (120.284516833888,22.5963520395293), (120.285066396846,22.5966233646762))))"
"urn:uuid:2a9ee47a-29aa-4657-ab3a-0b4159fcb92c","TWKHH - 30","2a9ee47a-29aa-4657-ab3a-0b4159fcb92c","Polygon(List(List((120.295822187079,22.5867461635628), (120.296038913076,22.5868670882044), (120.296725077892,22.585806641514), (120.296508353554,22.5856857168565), (120.295822187079,22.5867461635628))))"
"urn:uuid:2a7d6170-3a1d-4ceb-ac0b-a21877cb3f55","TWKHH - 31","2a7d6170-3a1d-4ceb-ac0b-a21877cb3f55","Polygon(List(List((120.283644864813,22.6108336086122), (120.283733177782,22.6109945292713), (120.28471245504,22.6105312661061), (120.284624142367,22.6103703454377), (120.283644864813,22.6108336086122))))"
"urn:uuid:dfdb3fe0-0b67-439a-bce9-cfc548191128","TWKHH - 32","dfdb3fe0-0b67-439a-bce9-cfc548191128","Polygon(List(List((120.291554513817,22.5930069276262), (120.291959804248,22.5932323860779), (120.294437898726,22.5893907611953), (120.294032644637,22.5891653822944), (120.291554513817,22.5930069276262))))"
"urn:uuid:ecdd2836-ab7a-44e9-9b10-2522df9bcf0f","TWKHH - 33","ecdd2836-ab7a-44e9-9b10-2522df9bcf0f","Polygon(List(List((120.28074837893,22.6146955023661), (120.280679248478,22.614497971528), (120.279291668869,22.6149165438048), (120.27936079953,22.6151140746326), (120.28074837893,22.6146955023661))))"
"urn:uuid:c4cd3a7f-b1b0-43e2-bb33-bd9330245667","TWKHH - 34","c4cd3a7f-b1b0-43e2-bb33-bd9330245667","Polygon(List(List((120.32868023861,22.5586693024202), (120.328441610984,22.5589429999971), (120.32995280281,22.5600795895175), (120.330191432391,22.5598058919793), (120.32868023861,22.5586693024202))))"
"urn:uuid:3ae5af60-b2cb-45e6-9a8d-227072778b00","TWKHH - 35","3ae5af60-b2cb-45e6-9a8d-227072778b00","Polygon(List(List((120.324267906865,22.5586530742959), (120.324059872528,22.5588916824052), (120.32581285633,22.5602101250068), (120.326020892644,22.5599715169366), (120.324267906865,22.5586530742959))))"
"urn:uuid:e52a9ab1-fc41-4162-bdd7-933b512dda20","TWKHH - 36","e52a9ab1-fc41-4162-bdd7-933b512dda20","Polygon(List(List((120.325532106012,22.5562359647667), (120.325881916269,22.556498279746), (120.327933062675,22.554138261521), (120.327583258433,22.5538760013033), (120.325532106012,22.5562359647667))))"
"urn:uuid:adc4ad86-9933-49b2-b5d1-f31b799d6fbb","TWKHH - 37","adc4ad86-9933-49b2-b5d1-f31b799d6fbb","Polygon(List(List((120.28695401792,22.6019927419912), (120.28668788184,22.601838342467), (120.285765345024,22.6032091469182), (120.286031488981,22.6033635657669), (120.28695401792,22.6019927419912))))"
"urn:uuid:c21bc8f2-c376-4d77-9d3b-45bc772796b7","TWKHH - 38","c21bc8f2-c376-4d77-9d3b-45bc772796b7","Polygon(List(List((120.332547698162,22.5489710474874), (120.332146081438,22.5494484386996), (120.335347083614,22.5517715581817), (120.335748685851,22.5512940684158), (120.332547698162,22.5489710474874))))"
"urn:uuid:19816057-f446-4682-82ae-854a4c518e6f","TWKHH - 39","19816057-f446-4682-82ae-854a4c518e6f","Polygon(List(List((120.294650961084,22.5884145326567), (120.294920460518,22.5885590174913), (120.295756778966,22.5872138952666), (120.295487282149,22.5870694104078), (120.294650961084,22.5884145326567))))"
